entity_id,entity_type,name,description,temperature_max,strength,conductivity,ph,salinity,source
mp-fallback-0038,material,TiO2,Synthetic stand-in for a Materials Project record because live API access is unavailable. Class: alloy-like surrogate.,1217.62,868.88,32.229,,,Materials Project fallback (no API key)
mp-fallback-0039,material,SiC,Synthetic stand-in for a Materials Project record because live API access is unavailable. Class: ceramic.,1294.33,851.54,64.069,,,Materials Project fallback (no API key)
mp-fallback-0040,material,SiC,Synthetic stand-in for a Materials Project record because live API access is unavailable. Class: semiconductor.,1142.99,432.27,29.194,,,Materials Project fallback (no API key)
mp-fallback-0041,material,ZnO,Synthetic stand-in for a Materials Project record because live API access is unavailable. Class: ceramic.,1228.78,772.39,52.54,,,Materials Project fallback (no API key)
mp-fallback-0042,material,BN,Synthetic stand-in for a Materials Project record because live API access is unavailable. Class: oxide.,1603.74,768.22,49.812,,,Materials Project fallback (no API key)
mp-fallback-0043,material,SiO2,Synthetic stand-in for a Materials Project record because live API access is unavailable. Class: ceramic.,1522.83,907.81,63.772,,,Materials Project fallback (no API key)
mp-fallback-0044,material,TiO2,Synthetic stand-in for a Materials Project record because live API access is unavailable. Class: semiconductor.,1309.22,208.48,79.043,,,Materials Project fallback (no API key)
mp-fallback-0045,material,MgO,Synthetic stand-in for a Materials Project record because live API access is unavailable. Class: ceramic.,1116.64,668.41,60.645,,,Materials Project fallback (no API key)
mp-fallback-0046,material,TiO2,Synthetic stand-in for a Materials Project record because live API access is unavailable. Class: alloy-like surrogate.,757.45,623.22,31.61,,,Materials Project fallback (no API key)
mp-fallback-0047,material,ZnO,Synthetic stand-in for a Materials Project record because live API access is unavailable. Class: alloy-like surrogate.,1259.13,916.05,53.372,,,Materials Project fallback (no API key)
mp-fallback-0048,material,ZnO,Synthetic stand-in for a Materials Project record because live API access is unavailable. Class: ceramic.,1795.15,969.85,79.095,,,Materials Project fallback (no API key)
mp-fallback-0049,material,SiC,Synthetic stand-in for a Materials Project record because live API access is unavailable. Class: alloy-like surrogate.,1118.19,665.74,15.416,,,Materials Project fallback (no API key)
mp-fallback-0050,material,SiO2,Synthetic stand-in for a Materials Project record because live API access is unavailable. Class: oxide.,1698.92,261.98,28.217,,,Materials Project fallback (no API key)
mp-fallback-0051,material,BN,Synthetic stand-in for a Materials Project record because live API access is unavailable. Class: ceramic.,1634.34,510.24,71.355,,,Materials Project fallback (no API key)
mp-fallback-0052,material,SiO2,Synthetic stand-in for a Materials Project record because live API access is unavailable. Class: oxide.,1080.84,297.18,18.811,,,Materials Project fallback (no API key)
mp-fallback-0053,material,Al2O3,Synthetic stand-in for a Materials Project record because live API access is unavailable. Class: semiconductor.,521.0,798.36,8.223,,,Materials Project fallback (no API key)
mp-fallback-0054,material,TiO2,Synthetic stand-in for a Materials Project record because live API access is unavailable. Class: oxide.,1674.65,574.57,68.342,,,Materials Project fallback (no API key)
mp-fallback-0055,material,SiO2,Synthetic stand-in for a Materials Project record because live API access is unavailable. Class: semiconductor.,549.7,406.02,26.883,,,Materials Project fallback (no API key)
mp-fallback-0056,material,SiC,Synthetic stand-in for a Materials Project record because live API access is unavailable. Class: ceramic.,709.85,887.0,64.688,,,Materials Project fallback (no API key)
mp-fallback-0057,material,MgO,Synthetic stand-in for a Materials Project record because live API access is unavailable. Class: alloy-like surrogate.,1677.15,120.69,29.799,,,Materials Project fallback (no API key)
mp-fallback-0058,material,SiO2,Synthetic stand-in for a Materials Project record because live API access is unavailable. Class: alloy-like surrogate.,758.81,258.06,66.996,,,Materials Project fallback (no API key)
mp-fallback-0059,material,MgO,Synthetic stand-in for a Materials Project record because live API access is unavailable. Class: alloy-like surrogate.,1221.04,165.98,11.014,,,Materials Project fallback (no API key)
mp-fallback-0060,material,Al2O3,Synthetic stand-in for a Materials Project record because live API access is unavailable. Class: semiconductor.,1504.22,583.72,49.978,,,Materials Project fallback (no API key)
mp-fallback-0061,material,TiO2,Synthetic stand-in for a Materials Project record because live API access is unavailable. Class: oxide.,1670.26,923.31,14.204,,,Materials Project fallback (no API key)
mp-fallback-0062,material,MgO,Synthetic stand-in for a Materials Project record because live API access is unavailable. Class: alloy-like surrogate.,1186.14,880.36,54.008,,,Materials Project fallback (no API key)
mp-fallback-0063,material,ZnO,Synthetic stand-in for a Materials Project record because live API access is unavailable. Class: ceramic.,1586.9,878.55,18.731,,,Materials Project fallback (no API key)
mp-fallback-0064,material,TiO2,Synthetic stand-in for a Materials Project record because live API access is unavailable. Class: alloy-like surrogate.,1166.68,831.25,30.848,,,Materials Project fallback (no API key)
mp-fallback-0065,material,Fe2O3,Synthetic stand-in for a Materials Project record because live API access is unavailable. Class: semiconductor.,1441.0,415.65,30.864,,,Materials Project fallback (no API key)
mp-fallback-0066,material,TiO2,Synthetic stand-in for a Materials Project record because live API access is unavailable. Class: oxide.,1199.79,915.56,66.298,,,Materials Project fallback (no API key)
mp-fallback-0067,material,BN,Synthetic stand-in for a Materials Project record because live API access is unavailable. Class: alloy-like surrogate.,893.16,816.8,74.665,,,Materials Project fallback (no API key)
mp-fallback-0068,material,MgO,Synthetic stand-in for a Materials Project record because live API access is unavailable. Class: alloy-like surrogate.,1388.13,414.88,45.97,,,Materials Project fallback (no API key)
mp-fallback-0069,material,SiO2,Synthetic stand-in for a Materials Project record because live API access is unavailable. Class: ceramic.,684.67,947.31,25.469,,,Materials Project fallback (no API key)
mp-fallback-0070,material,ZnO,Synthetic stand-in for a Materials Project record because live API access is unavailable. Class: semiconductor.,1544.33,482.33,51.593,,,Materials Project fallback (no API key)
mp-fallback-0071,material,TiO2,Synthetic stand-in for a Materials Project record because live API access is unavailable. Class: ceramic.,552.47,319.45,7.058,,,Materials Project fallback (no API key)
mp-fallback-0072,material,MgO,Synthetic stand-in for a Materials Project record because live API access is unavailable. Class: alloy-like surrogate.,1442.12,564.16,47.844,,,Materials Project fallback (no API key)
mp-fallback-0073,material,TiO2,Synthetic stand-in for a Materials Project record because live API access is unavailable. Class: oxide.,1668.95,570.01,54.767,,,Materials Project fallback (no API key)
mp-fallback-0074,material,ZnO,Synthetic stand-in for a Materials Project record because live API access is unavailable. Class: alloy-like surrogate.,1248.7,774.85,61.169,,,Materials Project fallback (no API key)
mp-fallback-0075,material,TiO2,Synthetic stand-in for a Materials Project record because live API access is unavailable. Class: ceramic.,1786.19,220.84,20.702,,,Materials Project fallback (no API key)
mp-fallback-0076,material,Al2O3,Synthetic stand-in for a Materials Project record because live API access is unavailable. Class: oxide.,1238.27,648.44,50.249,,,Materials Project fallback (no API key)
mp-fallback-0077,material,TiO2,Synthetic stand-in for a Materials Project record because live API access is unavailable. Class: ceramic.,532.71,569.62,78.214,,,Materials Project fallback (no API key)
mp-fallback-0078,material,TiO2,Synthetic stand-in for a Materials Project record because live API access is unavailable. Class: semiconductor.,961.79,972.96,26.954,,,Materials Project fallback (no API key)
mp-fallback-0079,material,SiC,Synthetic stand-in for a Materials Project record because live API access is unavailable. Class: ceramic.,663.91,290.51,18.567,,,Materials Project fallback (no API key)
mp-fallback-0080,material,SiC,Synthetic stand-in for a Materials Project record because live API access is unavailable. Class: alloy-like surrogate.,1452.03,131.22,71.001,,,Materials Project fallback (no API key)
mp-fallback-0081,material,MgO,Synthetic stand-in for a Materials Project record because live API access is unavailable. Class: semiconductor.,965.6,260.09,26.84,,,Materials Project fallback (no API key)
mp-fallback-0082,material,BN,Synthetic stand-in for a Materials Project record because live API access is unavailable. Class: alloy-like surrogate.,889.74,448.09,70.32,,,Materials Project fallback (no API key)
mp-fallback-0083,material,TiO2,Synthetic stand-in for a Materials Project record because live API access is unavailable. Class: ceramic.,449.89,180.42,75.481,,,Materials Project fallback (no API key)
mp-fallback-0084,material,SiO2,Synthetic stand-in for a Materials Project record because live API access is unavailable. Class: semiconductor.,1195.08,848.7,63.169,,,Materials Project fallback (no API key)
mp-fallback-0085,material,Al2O3,Synthetic stand-in for a Materials Project record because live API access is unavailable. Class: semiconductor.,1182.05,388.04,66.026,,,Materials Project fallback (no API key)
mp-fallback-0086,material,Al2O3,Synthetic stand-in for a Materials Project record because live API access is unavailable. Class: semiconductor.,897.06,976.56,45.108,,,Materials Project fallback (no API key)
mp-fallback-0087,material,SiC,Synthetic stand-in for a Materials Project record because live API access is unavailable. Class: alloy-like surrogate.,1088.54,457.51,50.999,,,Materials Project fallback (no API key)
mp-fallback-0088,material,ZnO,Synthetic stand-in for a Materials Project record because live API access is unavailable. Class: semiconductor.,1162.07,629.37,75.54,,,Materials Project fallback (no API key)
mp-fallback-0089,material,Al2O3,Synthetic stand-in for a Materials Project record because live API access is unavailable. Class: ceramic.,748.68,638.9,79.538,,,Materials Project fallback (no API key)
mp-fallback-0090,material,MgO,Synthetic stand-in for a Materials Project record because live API access is unavailable. Class: oxide.,1264.84,943.66,66.139,,,Materials Project fallback (no API key)
mp-fallback-0091,material,SiC,Synthetic stand-in for a Materials Project record because live API access is unavailable. Class: ceramic.,1400.23,426.53,40.985,,,Materials Project fallback (no API key)
mp-fallback-0092,material,SiO2,Synthetic stand-in for a Materials Project record because live API access is unavailable. Class: oxide.,765.62,300.55,6.187,,,Materials Project fallback (no API key)
mp-fallback-0093,material,ZnO,Synthetic stand-in for a Materials Project record because live API access is unavailable. Class: ceramic.,663.65,147.55,8.388,,,Materials Project fallback (no API key)
mp-fallback-0094,material,ZnO,Synthetic stand-in for a Materials Project record because live API access is unavailable. Class: oxide.,867.13,813.67,37.547,,,Materials Project fallback (no API key)
mp-fallback-0095,material,SiC,Synthetic stand-in for a Materials Project record because live API access is unavailable. Class: oxide.,696.83,807.72,38.877,,,Materials Project fallback (no API key)
mp-fallback-0096,material,Fe2O3,Synthetic stand-in for a Materials Project record because live API access is unavailable. Class: alloy-like surrogate.,1380.6,222.18,22.415,,,Materials Project fallback (no API key)
mp-fallback-0097,material,Al2O3,Synthetic stand-in for a Materials Project record because live API access is unavailable. Class: ceramic.,1746.49,663.17,70.686,,,Materials Project fallback (no API key)
mp-fallback-0098,material,BN,Synthetic stand-in for a Materials Project record because live API access is unavailable. Class: semiconductor.,1785.66,909.65,71.445,,,Materials Project fallback (no API key)
mp-fallback-0099,material,Fe2O3,Synthetic stand-in for a Materials Project record because live API access is unavailable. Class: ceramic.,863.21,591.52,60.551,,,Materials Project fallback (no API key)
mp-fallback-0100,material,BN,Synthetic stand-in for a Materials Project record because live API access is unavailable. Class: semiconductor.,1073.66,135.08,63.919,,,Materials Project fallback (no API key)
mp-fallback-0101,material,SiC,Synthetic stand-in for a Materials Project record because live API access is unavailable. Class: oxide.,1421.79,655.02,2.776,,,Materials Project fallback (no API key)
mp-fallback-0102,material,SiO2,Synthetic stand-in for a Materials Project record because live API access is unavailable. Class: ceramic.,937.71,567.14,22.219,,,Materials Project fallback (no API key)
mp-fallback-0103,material,BN,Synthetic stand-in for a Materials Project record because live API access is unavailable. Class: oxide.,1724.56,749.33,14.418,,,Materials Project fallback (no API key)
mp-fallback-0104,material,SiC,Synthetic stand-in for a Materials Project record because live API access is unavailable. Class: oxide.,1447.61,448.97,30.606,,,Materials Project fallback (no API key)
mp-fallback-0105,material,Al2O3,Synthetic stand-in for a Materials Project record because live API access is unavailable. Class: ceramic.,959.47,779.12,11.425,,,Materials Project fallback (no API key)
mp-fallback-0106,material,MgO,Synthetic stand-in for a Materials Project record because live API access is unavailable. Class: oxide.,922.02,569.71,29.435,,,Materials Project fallback (no API key)
mp-fallback-0107,material,MgO,Synthetic stand-in for a Materials Project record because live API access is unavailable. Class: ceramic.,685.21,740.43,5.424,,,Materials Project fallback (no API key)
mp-fallback-0108,material,MgO,Synthetic stand-in for a Materials Project record because live API access is unavailable. Class: oxide.,1309.46,185.76,6.336,,,Materials Project fallback (no API key)
mp-fallback-0109,material,ZnO,Synthetic stand-in for a Materials Project record because live API access is unavailable. Class: ceramic.,559.16,538.04,14.603,,,Materials Project fallback (no API key)
mp-fallback-0110,material,Al2O3,Synthetic stand-in for a Materials Project record because live API access is unavailable. Class: semiconductor.,1673.87,694.55,65.792,,,Materials Project fallback (no API key)
mp-fallback-0111,material,Al2O3,Synthetic stand-in for a Materials Project record because live API access is unavailable. Class: ceramic.,1070.86,960.59,19.654,,,Materials Project fallback (no API key)
mp-fallback-0112,material,Fe2O3,Synthetic stand-in for a Materials Project record because live API access is unavailable. Class: oxide.,535.68,947.03,77.7,,,Materials Project fallback (no API key)
mp-fallback-0113,material,SiC,Synthetic stand-in for a Materials Project record because live API access is unavailable. Class: ceramic.,561.96,556.79,45.928,,,Materials Project fallback (no API key)
mp-fallback-0114,material,TiO2,Synthetic stand-in for a Materials Project record because live API access is unavailable. Class: oxide.,1408.22,146.82,41.322,,,Materials Project fallback (no API key)
mp-fallback-0115,material,MgO,Synthetic stand-in for a Materials Project record because live API access is unavailable. Class: oxide.,1504.5,667.23,21.47,,,Materials Project fallback (no API key)
mp-fallback-0116,material,ZnO,Synthetic stand-in for a Materials Project record because live API access is unavailable. Class: ceramic.,622.61,139.17,63.502,,,Materials Project fallback (no API key)
mp-fallback-0117,material,BN,Synthetic stand-in for a Materials Project record because live API access is unavailable. Class: oxide.,864.22,543.53,56.464,,,Materials Project fallback (no API key)
mp-fallback-0118,material,SiC,Synthetic stand-in for a Materials Project record because live API access is unavailable. Class: semiconductor.,1675.25,417.84,64.273,,,Materials Project fallback (no API key)
mp-fallback-0119,material,TiO2,Synthetic stand-in for a Materials Project record because live API access is unavailable. Class: oxide.,1441.61,775.1,6.733,,,Materials Project fallback (no API key)
mp-fallback-0120,material,Al2O3,Synthetic stand-in for a Materials Project record because live API access is unavailable. Class: ceramic.,815.57,561.95,9.177,,,Materials Project fallback (no API key)
mp-fallback-0121,material,ZnO,Synthetic stand-in for a Materials Project record because live API access is unavailable. Class: alloy-like surrogate.,868.3,936.71,13.996,,,Materials Project fallback (no API key)
mp-fallback-0122,material,SiO2,Synthetic stand-in for a Materials Project record because live API access is unavailable. Class: oxide.,1365.52,843.94,6.127,,,Materials Project fallback (no API key)
mp-fallback-0123,material,MgO,Synthetic stand-in for a Materials Project record because live API access is unavailable. Class: alloy-like surrogate.,1553.98,898.21,71.703,,,Materials Project fallback (no API key)
mp-fallback-0124,material,BN,Synthetic stand-in for a Materials Project record because live API access is unavailable. Class: ceramic.,1763.27,235.79,48.444,,,Materials Project fallback (no API key)
mp-fallback-0125,material,TiO2,Synthetic stand-in for a Materials Project record because live API access is unavailable. Class: ceramic.,1018.93,121.58,13.386,,,Materials Project fallback (no API key)
mp-fallback-0126,material,BN,Synthetic stand-in for a Materials Project record because live API access is unavailable. Class: alloy-like surrogate.,513.51,447.65,69.867,,,Materials Project fallback (no API key)
mp-fallback-0127,material,ZnO,Synthetic stand-in for a Materials Project record because live API access is unavailable. Class: semiconductor.,1465.82,963.91,78.866,,,Materials Project fallback (no API key)
mp-fallback-0128,material,SiC,Synthetic stand-in for a Materials Project record because live API access is unavailable. Class: alloy-like surrogate.,1257.59,680.44,30.849,,,Materials Project fallback (no API key)
mp-fallback-0129,material,Fe2O3,Synthetic stand-in for a Materials Project record because live API access is unavailable. Class: semiconductor.,1258.14,900.51,67.677,,,Materials Project fallback (no API key)
mp-fallback-0130,material,SiC,Synthetic stand-in for a Materials Project record because live API access is unavailable. Class: semiconductor.,682.93,803.88,12.477,,,Materials Project fallback (no API key)
mp-fallback-0131,material,SiC,Synthetic stand-in for a Materials Project record because live API access is unavailable. Class: oxide.,1160.37,490.07,37.517,,,Materials Project fallback (no API key)
mp-fallback-0132,material,BN,Synthetic stand-in for a Materials Project record because live API access is unavailable. Class: ceramic.,1688.44,241.24,9.259,,,Materials Project fallback (no API key)
mp-fallback-0133,material,Al2O3,Synthetic stand-in for a Materials Project record because live API access is unavailable. Class: oxide.,974.77,382.01,56.376,,,Materials Project fallback (no API key)
mp-fallback-0134,material,Al2O3,Synthetic stand-in for a Materials Project record because live API access is unavailable. Class: alloy-like surrogate.,1723.15,632.51,41.468,,,Materials Project fallback (no API key)
mp-fallback-0135,material,BN,Synthetic stand-in for a Materials Project record because live API access is unavailable. Class: ceramic.,746.16,891.05,34.562,,,Materials Project fallback (no API key)
mp-fallback-0136,material,SiC,Synthetic stand-in for a Materials Project record because live API access is unavailable. Class: alloy-like surrogate.,930.08,413.88,40.144,,,Materials Project fallback (no API key)
mp-fallback-0137,material,TiO2,Synthetic stand-in for a Materials Project record because live API access is unavailable. Class: oxide.,1433.18,806.73,9.175,,,Materials Project fallback (no API key)
mp-fallback-0138,material,SiO2,Synthetic stand-in for a Materials Project record because live API access is unavailable. Class: alloy-like surrogate.,1586.82,677.75,35.646,,,Materials Project fallback (no API key)
mp-fallback-0139,material,BN,Synthetic stand-in for a Materials Project record because live API access is unavailable. Class: ceramic.,700.5,864.59,61.126,,,Materials Project fallback (no API key)
mp-fallback-0140,material,SiC,Synthetic stand-in for a Materials Project record because live API access is unavailable. Class: semiconductor.,662.66,139.54,73.593,,,Materials Project fallback (no API key)
mp-fallback-0141,material,SiO2,Synthetic stand-in for a Materials Project record because live API access is unavailable. Class: semiconductor.,996.67,425.27,65.599,,,Materials Project fallback (no API key)
mp-fallback-0142,material,BN,Synthetic stand-in for a Materials Project record because live API access is unavailable. Class: oxide.,1615.31,199.12,59.295,,,Materials Project fallback (no API key)
mp-fallback-0143,material,SiC,Synthetic stand-in for a Materials Project record because live API access is unavailable. Class: oxide.,1075.21,969.14,12.325,,,Materials Project fallback (no API key)
mp-fallback-0144,material,SiO2,Synthetic stand-in for a Materials Project record because live API access is unavailable. Class: alloy-like surrogate.,1087.6,252.2,14.219,,,Materials Project fallback (no API key)
mp-fallback-0145,material,SiC,Synthetic stand-in for a Materials Project record because live API access is unavailable. Class: semiconductor.,1096.94,440.54,59.338,,,Materials Project fallback (no API key)
mp-fallback-0146,material,SiC,Synthetic stand-in for a Materials Project record because live API access is unavailable. Class: ceramic.,1242.99,463.64,13.548,,,Materials Project fallback (no API key)
mp-fallback-0147,material,SiC,Synthetic stand-in for a Materials Project record because live API access is unavailable. Class: alloy-like surrogate.,1019.5,344.86,49.816,,,Materials Project fallback (no API key)
mp-fallback-0148,material,SiO2,Synthetic stand-in for a Materials Project record because live API access is unavailable. Class: ceramic.,532.85,140.27,67.999,,,Materials Project fallback (no API key)
mp-fallback-0149,material,Al2O3,Synthetic stand-in for a Materials Project record because live API access is unavailable. Class: oxide.,1365.03,568.38,63.964,,,Materials Project fallback (no API key)
mp-fallback-0150,material,TiO2,Synthetic stand-in for a Materials Project record because live API access is unavailable. Class: alloy-like surrogate.,1762.86,892.98,29.947,,,Materials Project fallback (no API key)
mp-fallback-0151,material,BN,Synthetic stand-in for a Materials Project record because live API access is unavailable. Class: oxide.,1415.94,461.82,25.101,,,Materials Project fallback (no API key)
mp-fallback-0152,material,Al2O3,Synthetic stand-in for a Materials Project record because live API access is unavailable. Class: oxide.,1634.28,774.21,5.487,,,Materials Project fallback (no API key)
mp-fallback-0153,material,Al2O3,Synthetic stand-in for a Materials Project record because live API access is unavailable. Class: semiconductor.,445.23,639.62,38.448,,,Materials Project fallback (no API key)
mp-fallback-0154,material,ZnO,Synthetic stand-in for a Materials Project record because live API access is unavailable. Class: oxide.,1627.64,643.49,47.119,,,Materials Project fallback (no API key)
mp-fallback-0155,material,BN,Synthetic stand-in for a Materials Project record because live API access is unavailable. Class: semiconductor.,560.24,193.83,67.325,,,Materials Project fallback (no API key)
mp-fallback-0156,material,MgO,Synthetic stand-in for a Materials Project record because live API access is unavailable. Class: semiconductor.,425.81,606.18,42.924,,,Materials Project fallback (no API key)
mp-fallback-0157,material,Al2O3,Synthetic stand-in for a Materials Project record because live API access is unavailable. Class: oxide.,491.76,660.34,77.615,,,Materials Project fallback (no API key)
mp-fallback-0158,material,ZnO,Synthetic stand-in for a Materials Project record because live API access is unavailable. Class: alloy-like surrogate.,1252.25,731.12,60.813,,,Materials Project fallback (no API key)
mp-fallback-0159,material,SiC,Synthetic stand-in for a Materials Project record because live API access is unavailable. Class: alloy-like surrogate.,1648.84,372.43,52.979,,,Materials Project fallback (no API key)
mp-fallback-0160,material,SiC,Synthetic stand-in for a Materials Project record because live API access is unavailable. Class: ceramic.,1729.1,528.87,69.662,,,Materials Project fallback (no API key)
mp-fallback-0161,material,Al2O3,Synthetic stand-in for a Materials Project record because live API access is unavailable. Class: ceramic.,1716.11,228.17,74.538,,,Materials Project fallback (no API key)
mp-fallback-0162,material,BN,Synthetic stand-in for a Materials Project record because live API access is unavailable. Class: ceramic.,1066.35,680.01,22.654,,,Materials Project fallback (no API key)
mp-fallback-0163,material,TiO2,Synthetic stand-in for a Materials Project record because live API access is unavailable. Class: semiconductor.,956.08,761.06,23.001,,,Materials Project fallback (no API key)
mp-fallback-0164,material,MgO,Synthetic stand-in for a Materials Project record because live API access is unavailable. Class: alloy-like surrogate.,1789.2,532.67,28.593,,,Materials Project fallback (no API key)
mp-fallback-0165,material,MgO,Synthetic stand-in for a Materials Project record because live API access is unavailable. Class: semiconductor.,1555.67,700.28,39.455,,,Materials Project fallback (no API key)
mp-fallback-0166,material,SiC,Synthetic stand-in for a Materials Project record because live API access is unavailable. Class: alloy-like surrogate.,555.75,286.38,77.864,,,Materials Project fallback (no API key)
mp-fallback-0167,material,Al2O3,Synthetic stand-in for a Materials Project record because live API access is unavailable. Class: alloy-like surrogate.,1548.14,427.52,62.66,,,Materials Project fallback (no API key)
mp-fallback-0168,material,BN,Synthetic stand-in for a Materials Project record because live API access is unavailable. Class: ceramic.,530.24,184.84,69.733,,,Materials Project fallback (no API key)
